ID,consider_analyses,zip,town,canton,coordX,coordY,accuracy_of_coordinates,intentionality,type_of_food,source_of_food,frequency,amount g,restricted feeding,site_characteristics,n_birds,start,started,end,updates 12.2.22
77,small,3159,Riedstätt,BE,591910,181893,,nonintentional,kitchen waste,kitchen,daily,100,year round,compost,1,2016,3-5 years ,unknown,
78,unknown,1734,Tentlingen,FR,580684,179893,,nonintentional,cheese,unkown,unkown,>2000,unknown,compost,>50,2019,unkown,ongoing,"intentionality ""unknown"" -> ""nonintentional""; end ""unknown"" -> ""ongoing""; sex ""unknown"" -> ""M""; comment added"
79,unknown,3154,Rüeggisberg,BE,599327,181896,,intentional,meat,unknown,unkown,unknown,unknown,house + garden,2,2019,unkown,04/19 (hopefully),
80,unknown,1717,St. Ursen,FR,584003,180879,,nonintentional,unknown,unknown,unkown,unknown,unknown,compost,4,2019,unkown,ongoing,"intentionality ""unknown"" -> ""nonintentional""; end ""unknown"" -> ""ongoing""; sex ""unknown"" -> ""B""; comment added"
81,unknown,3086,Zimmerwald,BE,601500,191499,,intentional,unknown,slaughter waste,unknown,unknown,unknown,unknown,6,2011,unknown,unknown,
82,unknown,8218,Osterfingen,SH,678468,278812,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,20,2017,unknown,unknown,
83,unknown,8820,Wädenswil,ZH,693037,229933,,unknown,meat,unknown,unknown,unknown,unknown,unknown,>35,2015,unknown,unknown,
84,unknown,8165,Schöfflisdorf,ZH,673536,261763,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,13,2016,unknown,unknown,
85,unknown,6244,Nebikon,LU,640538,226039,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,35,2019,unknown,unknown,
86,unknown,8580,Hefenhofen,TG,741499,270499,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,9,2017,unknown,unknown,
87,unknown,8332,Russikon,ZH,700371,250691,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,12 to 17,2015,unknown,unknown,
88,unknown,1423,Villars-Burquin,VD,538347,189246,,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2018,unknown,unknown,
