nr,coord_x,coord_y,square,random,area,Q1,Q2,Q3,Q4.a,Q4.b,Q4.c,Q5,Q6Rotmilan,Q7,Q8.Erhaltung,Q8.näher,Q8.Vorschlag,Q8.Photo,Q8.übriges.L,Q8.sonstiges,Q9,Q10,Q11.a,Q11.b,Q11.c,sex,age,reaction..0.2.,building.type,comments,intentionality,ref.nr..Known.feeder
95,590936.3,186572.8,I21,1,outside,Ja,Winter/Spring,jede zweite Woche,placenta,NA,NA,>1000g,1,3-5years,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,M,>65,1,farm,Placenta mostly winter spring ,nonintentional,NA
96,591435,186864.6,I21,1,outside,Ja,ganze Jahr,>2/Woche,placenta,NA,NA,>1000g,1,3-5years,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,2,farm,placenta,nonintentional,NA
97,592504,186567,H22,1,outside,Ja,Winter/Spring,1-2/Woche,placenta,NA,NA,>1000g,1,3-5years,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,>65,1,farm,She didn't know the specifics,nonintentional,NA
98,592242,186027.9,I21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
99,592164.3,186137.4,I21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,50-65,1,house + garden,NA,NA,NA
100,584920.6,183478.2,J18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,50-65,2,house + garden,NA,NA,NA
101,583193.5,184325.5,J18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,"Freiburghaus, next to her are bird fans",NA,NA
102,584364,183657.6,J18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,F,>65,1,house + garden,Younger lady (daughter?) feeds RK in st Sylvester!,NA,NA
103,583428,184406.1,J18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,2,house + garden,NA,NA,NA
104,583341.6,183281.7,J18,1,outside,Ja,Winter/Spring,1-2/Woche,placenta,NA,NA,>1000g,1,3-5years,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,"Placenta mostly winter ask again later, he was in a hurry",nonintentional,NA
105,583369.3,184335.3,J18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,50-65,1,house + garden,NA,NA,NA
106,584395.5,184617.9,J18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,>65,1,farm,NA,NA,NA
107,583559.8,183098.3,J18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,Shit heap and placenta but RK never observed,NA,NA
108,584738.1,183726.4,J18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,M,>65,0,house + garden,Possible feeder in beniwil ,NA,NA
109,583560,184012.3,J18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
110,583215.8,183787.2,J18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,house + garden,NA,NA,NA
111,586627.6,184812.4,J19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,2,farm,NA,NA,NA
112,585923.6,183828.9,J19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,0,house + garden,NA,NA,NA
113,586943.2,182894.9,J19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,0,farm,NA,NA,NA
114,587277,184619,J19,1,outside,Ja,ganze Jahr,1-2/Woche,Küchenabfälle,beide,gekochtes Fleisc,<200g,1,3-5years,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,farm,NA,nonintentional,NA
115,587977.2,183629.5,J20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,farm,NA,NA,NA
116,588442.9,183416.8,J20,1,outside,Ja,Winter/Spring,1-2/Woche,placenta,NA,NA,>1000g,1,5-10years,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,>65,2,farm,Very interested and caring for birds. Probably feeds placenta since long time,nonintentional,NA
117,589646.4,184000.1,J20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,20-35,1,farm,NA,NA,NA
118,588502.6,183894.7,J20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,NA,NA,NA
119,588688.7,182913.2,J20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,1,house,NA,NA,NA
120,589686.5,184485.6,J20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,farm,NA,NA,NA
121,589491.1,183355,J20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,2,farm,NA,NA,NA
122,589054.2,183110.1,J20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,farm,NA,NA,NA
123,591970.9,184090.5,J21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
124,591501.6,184622.2,J21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,NA,NA,NA
125,591426,183585,J21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,50-65,1,house + garden,NA,NA,NA
126,591894.2,184003.4,J21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,apartment ,NA,NA,NA
127,591693,182716.4,J21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,20-35,1,farm,NA,NA,NA
128,592331.3,183099.7,J21,1,outside,Ja,ganze Jahr,1-2/Woche,Küchenabfälle,beide,gekochtes Fleisc,<200g,1,2-3years,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,F,20-35,2,farm,Feed all y but observe RK feeding mostly summer ,nonintentional,NA
129,592155.5,184400.4,J21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,farm,NA,NA,NA
130,593978,184973,J22,1,outside,Ja,Winter/Spring,>2/Woche,placenta,NA,NA,>1000g,1,5-10years,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,2,farm,"Coords changed, nobody at random house, picked this. Only rk feed",nonintentional,NA
131,594166.4,184850.9,J22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,M,50-65,1,farm,NA,NA,130
132,594237.3,184113,J22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
133,593524.9,183593,J22,1,outside,Ja,ganze Jahr,>2/Woche,Rind/Schwein/Lamm/Huhn/verarbeitete,0,rohes Fleisch,200-400g,1,5-10years,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,2,house + garden,herrenolz,intentional,NA
134,584467.6,180203.2,K18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
135,584866.5,181595.6,K18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,F,50-65,1,house + garden,Known about somebody in beniwil ,NA,NA
136,584019.1,180850,K18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,farm,NA,NA,NA
137,586477,180761.5,K19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,house,NA,NA,NA
138,586968.9,180669.1,K19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,M,>65,2,house + garden,"Beniwil, ",NA,NA
139,585188.9,182267.2,K19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,1,house + garden,NA,NA,NA
140,586953.9,180613,K19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,1,house + garden,NA,NA,NA
141,588230.8,180152.4,K20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,farm,"Shit heap + placenta, but only observed CB",NA,NA
142,588710.5,181464.8,K20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
143,588153.8,180708.8,K20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,farm,Shit heap ,NA,NA
145,591642.8,182412.2,K21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,farm,NA,NA,NA
146,592118.2,182013,K21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,apartment ,NA,NA,NA
147,592096.4,180714.2,K21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,<20,1,house + garden,NA,NA,NA
148,591221.9,180129.1,K21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,F,50-65,1,farm,Close to School in kalchstätten?,NA,NA
149,594590.5,180290.8,K22,1,outside,Ja,ganze Jahr,>2/Woche,Rind/Schwein/Lamm/Huhn/verarbeitete,beide,gekochtes Fleisc,<200g,1,2-3years,NA,1,NA,NA,1,NA,NA,0,0,NA,NA,F,>65,2,farm,Only RK come ,intentional,NA
150,593086,180772.4,K22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,35-50,1,house + garden,NA,NA,NA
151,593111.4,182444.4,K22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,50-65,1,farm,NA,NA,NA
152,593743.6,181045.1,K22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,2,farm,NA,NA,NA
153,584785.4,179407.3,L18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,1,house + garden,NA,NA,NA
154,583641.8,178144.8,L18,1,outside,Ja,Herbst/Winter,seltener,Aase,NA,rohes Fleisch,<200g,1,5-10years,NA,NA,NA,NA,NA,NA,NA,1,1,1-2/Woche,Fleisch ,M,50-65,2,farm,"Used to feed CB when very cold in winter, with pieces of meat (about 10years ago). Talk to him if need help for project. + leaves foxes rests when hunts",nonintentional,214
155,583421.7,179021,L18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,50-65,1,house + garden,"Lady who found weird bird with ring. Has chickens, thinks RK took them.",NA,NA
156,584935.3,179645.6,L18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,apartment ,NA,NA,NA
157,582961,177603.6,L18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,farm,NA,NA,NA
158,584961.7,177795.1,L18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,farm,NA,NA,NA
159,583583.2,179054,L18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,>65,1,farm,NA,NA,NA
160,583081.3,178394.4,L18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
161,585398.8,177827,L19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,apartment ,NA,NA,NA
162,585018.4,177827.8,L19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,20-35,1,farm,NA,NA,NA
163,586325.4,179790.3,L19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,NA,NA,NA
164,587075.3,179838.7,L19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,50-65,1,house + garden,NA,NA,NA
165,588906.3,179156.1,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
166,589773.6,178832.9,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,35-50,1,house + garden,NA,NA,NA
167,588745.2,179007,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,house + garden,"Owns lots of different animals, songbirds find enough food there",NA,NA
168,589892.3,178300.8,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,1,apartment ,NA,NA,NA
169,589126.2,178531.3,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
170,589138.7,178752,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,50-65,1,house + garden,NA,NA,NA
171,588376.9,179067.3,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,20-30 RK on field ,NA,NA
172,588588.7,178220.5,L20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,50-65,1,apartment ,NA,NA,NA
173,589987.8,179027.2,L20,1,outside,Ja,ganze Jahr,jede zweite Woche,Küchenabfälle,NA,NA,<200g,1,5-10years,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,>65,2,house + garden,Don't see often RK feeding. Once used to throw slaughter waste and RK used to feed on it,nonintentional,NA
174,587758.9,178686.7,L20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,house,NA,NA,NA
175,588369.6,178403.1,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,house + garden,NA,NA,NA
176,587587.6,178201.5,L20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,farm,NA,NA,NA
177,591982.2,178063.2,L21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,NA,NA,NA
178,591648.7,178274.7,L21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,20-35,1,house,NA,NA,NA
179,592316.3,179456.3,L21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,50-65,1,farm,Shit heap but never seen RK ,NA,NA
180,592086.3,178188.2,L21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,farm,NA,NA,NA
181,590304,177936.7,L21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,0,farm,"Against feeding of all animals, not against rk ",NA,NA
182,591860.4,178753.2,L21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,0,farm,NA,NA,NA
183,591647.2,178298.5,L21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
